x,y,MIN_TEMPERATURE,MEAN_TEMPERATURE,PROVINCE_CODE,SPEED_MAX_GUST,TOTAL_SNOW,DIRECTION_MAX_GUST,LOCAL_DATE,SNOW_ON_GROUND_FLAG,LOCAL_MONTH,TOTAL_PRECIPITATION_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,ID,DIRECTION_MAX_GUST_FLAG,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,MIN_REL_HUMIDITY,MAX_TEMPERATURE,LOCAL_DAY,MIN_REL_HUMIDITY_FLAG,LOCAL_YEAR,STATION_NAME,MIN_TEMPERATURE_FLAG,SNOW_ON_GROUND,COOLING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS_FLAG
-121.58194444444445,50.224444444444444,-16.6,-12.9,BC,43,,36,2021-12-25 00:00:00,,12,,,,,30.9,0,0.7,,1114746.2021.12.25,,1114746,76,,55,-9.1,25,,2021,LYTTON RCS,,29,,,,
-121.58194444444445,50.224444444444444,-20.2,-18.3,BC,38,,35,2021-12-26 00:00:00,,12,,,,,36.3,0,0.3,,1114746.2021.12.26,,1114746,74,,42,-16.4,26,,2021,LYTTON RCS,,28,,,,
-121.58194444444445,50.224444444444444,-25.6,-22.7,BC,,,,2021-12-27 00:00:00,,12,,,,,40.7,0,0,,1114746.2021.12.27,,1114746,78,,49,-19.9,27,,2021,LYTTON RCS,,27,,,,
-121.58194444444445,50.224444444444444,-22.3,-18.7,BC,38,,35,2021-12-28 00:00:00,,12,,,,,36.7,0,0.2,,1114746.2021.12.28,,1114746,81,,49,-15.1,28,,2021,LYTTON RCS,,27,,,,
-121.58194444444445,50.224444444444444,-20,-17.9,BC,32,,1,2021-12-29 00:00:00,,12,,,,,35.9,0,0,,1114746.2021.12.29,,1114746,80,,57,-15.9,29,,2021,LYTTON RCS,,27,,,,
-121.58194444444445,50.224444444444444,-16.4,-13.2,BC,36,,36,2021-12-30 00:00:00,,12,,,,,31.2,0,0.2,,1114746.2021.12.30,,1114746,80,,55,-10.1,30,,2021,LYTTON RCS,,26,,,,
-121.58194444444445,50.224444444444444,-18.8,-15.5,BC,,,,2021-12-31 00:00:00,,12,,,,,33.5,0,0,,1114746.2021.12.31,,1114746,84,,51,-12.2,31,,2021,LYTTON RCS,,26,,,,
-120.33277777777778,49.672777777777775,-9,-4,BC,,0,,2019-01-01 00:00:00,,1,,,0,,22,0,0,,1123721.2019.1.1,,1123721,,,,1,1,,2019,JELLICOE,,22,,,,
-120.33277777777778,49.672777777777775,-8,-4.8,BC,,1,,2019-01-02 00:00:00,,1,,,0,,22.8,0,1,,1123721.2019.1.2,,1123721,,,,-1.5,2,,2019,JELLICOE,,22,,,,
-120.33277777777778,49.672777777777775,-3,-0.3,BC,,0,,2019-01-03 00:00:00,,1,,,2,,18.3,0,2,T,1123721.2019.1.3,,1123721,,,,2.5,3,,2019,JELLICOE,,19,,,,
-120.33277777777778,49.672777777777775,-6.5,-1.5,BC,,0,,2019-01-05 00:00:00,,1,T,,0,,19.5,0,0,T,1123721.2019.1.5,,1123721,,,,3.5,5,,2019,JELLICOE,,19,,,,
-120.33277777777778,49.672777777777775,-3,0.3,BC,,0,,2019-01-06 00:00:00,,1,,,0,,17.7,0,0,,1123721.2019.1.6,,1123721,,,,3.5,6,,2019,JELLICOE,,18,,,,
-120.33277777777778,49.672777777777775,-11,-5.5,BC,,0,,2019-01-07 00:00:00,,1,,,0,,23.5,0,0,,1123721.2019.1.7,,1123721,,,,0,7,,2019,JELLICOE,,17,,,,
-120.33277777777778,49.672777777777775,-15.5,-9.5,BC,,1,,2019-01-08 00:00:00,,1,,,0,,27.5,0,1,,1123721.2019.1.8,,1123721,,,,-3.5,8,,2019,JELLICOE,,17,,,,
-120.33277777777778,49.672777777777775,-5,-1.8,BC,,0,,2019-01-09 00:00:00,,1,T,,0,,19.8,0,0,T,1123721.2019.1.9,,1123721,,,,1.5,9,,2019,JELLICOE,,18,,,,
-120.33277777777778,49.672777777777775,-5,0.8,BC,,0,,2019-01-10 00:00:00,,1,,,0,,17.2,0,0,,1123721.2019.1.10,,1123721,,,,6.5,10,,2019,JELLICOE,,18,,,,
-120.33277777777778,49.672777777777775,-7.5,-1.8,BC,,0,,2019-01-11 00:00:00,,1,,,0,,19.8,0,0,,1123721.2019.1.11,,1123721,,,,4,11,,2019,JELLICOE,,18,,,,
