x,y,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,LOCAL_MONTH,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,ID,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,TOTAL_SNOW,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE,LOCAL_DAY,STATION_NAME,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,LOCAL_DATE,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,TOTAL_PRECIPITATION_FLAG
-122.50639083333333,53.02666888888889,,,-0.9,11,99,0.7,,1096631.2020.11.24,,,2020,,,,17.3,,,BC,24,QUESNEL AIRPORT AUTO,2.3,0,1096631,,71,,,,2020-11-24 00:00:00,,,3.1,10,
-122.50639083333333,53.02666888888889,,,-3.6,11,98,-0.5,,1096631.2020.11.25,,,2020,,,,18.5,,,BC,25,QUESNEL AIRPORT AUTO,2.5,0,1096631,,72,,,,2020-11-25 00:00:00,,,0.2,9,
-122.50639083333333,53.02666888888889,,,-3.8,11,98,-0.5,,1096631.2020.11.26,,,2020,,,,18.5,,10,BC,26,QUESNEL AIRPORT AUTO,2.7,0,1096631,,70,,,33,2020-11-26 00:00:00,,,0.3,8,
-122.50639083333333,53.02666888888889,,,-0.7,11,99,0.3,,1096631.2020.11.27,,,2020,,,,17.7,,,BC,27,QUESNEL AIRPORT AUTO,1.3,0,1096631,,93,,,,2020-11-27 00:00:00,,,21.6,14,
-122.50639083333333,53.02666888888889,,,-7.7,11,99,-3.9,,1096631.2020.11.28,,,2020,,,,21.9,,,BC,28,QUESNEL AIRPORT AUTO,-0.1,0,1096631,,81,,,,2020-11-28 00:00:00,,,0,16,
-122.50639083333333,53.02666888888889,,,-3.7,11,97,-0.4,,1096631.2020.11.29,,,2020,,,,18.4,,10,BC,29,QUESNEL AIRPORT AUTO,3,0,1096631,,64,,,32,2020-11-29 00:00:00,,,0,15,
-122.50639083333333,53.02666888888889,,,-7.3,11,84,-0.9,,1096631.2020.11.30,,,2020,,,,18.9,,27,BC,30,QUESNEL AIRPORT AUTO,5.5,0,1096631,,44,,,48,2020-11-30 00:00:00,,,0,15,
-122.50639083333333,53.02666888888889,,,-11,12,93,-4.6,,1096631.2020.12.1,,,2020,,,,22.6,,,BC,1,QUESNEL AIRPORT AUTO,1.7,0,1096631,,48,,,,2020-12-01 00:00:00,,,0,13,
-122.50639083333333,53.02666888888889,,,-11.1,12,95,-4.2,,1096631.2020.12.2,,,2020,,,,22.2,,,BC,2,QUESNEL AIRPORT AUTO,2.7,0,1096631,,52,,,,2020-12-02 00:00:00,,,0,14,
-122.50639083333333,53.02666888888889,,,-5.6,12,85,-0.7,,1096631.2020.12.3,,,2020,,,,18.7,,13,BC,3,QUESNEL AIRPORT AUTO,4.2,0,1096631,,59,,,31,2020-12-03 00:00:00,,,0.2,14,
-122.50639083333333,53.02666888888889,,,-5.5,12,92,-1.4,,1096631.2020.12.4,,,2020,,,,19.4,,,BC,4,QUESNEL AIRPORT AUTO,2.7,0,1096631,,70,,,,2020-12-04 00:00:00,,,0,14,
-122.50639083333333,53.02666888888889,,,-2.1,12,89,1.6,,1096631.2020.12.5,,,2020,,,,16.4,,12,BC,5,QUESNEL AIRPORT AUTO,5.2,0,1096631,,48,,,34,2020-12-05 00:00:00,,,0,13,
-122.50639083333333,53.02666888888889,,,-2.1,12,74,2.5,,1096631.2020.12.6,,,2020,,,,15.5,,,BC,6,QUESNEL AIRPORT AUTO,7.1,0,1096631,,54,,,,2020-12-06 00:00:00,,,0,13,
-122.50639083333333,53.02666888888889,,,1.9,12,96,4.7,,1096631.2020.12.7,,,2020,,,,13.3,,14,BC,7,QUESNEL AIRPORT AUTO,7.5,0,1096631,,57,,,50,2020-12-07 00:00:00,,,4.1,8,
-122.50639083333333,53.02666888888889,,,-0.8,12,99,1.7,,1096631.2020.12.8,,,2020,,,,16.3,,,BC,8,QUESNEL AIRPORT AUTO,4.2,0,1096631,,88,,,,2020-12-08 00:00:00,,,0.5,4,
-122.50639083333333,53.02666888888889,,,-3,12,99,-1.8,,1096631.2020.12.9,,,2020,,,,19.8,,,BC,9,QUESNEL AIRPORT AUTO,-0.6,0,1096631,,86,,,,2020-12-09 00:00:00,,,0,1,
-122.50639083333333,53.02666888888889,,,-3.3,12,95,-1.9,,1096631.2020.12.10,,,2020,,,,19.9,,,BC,10,QUESNEL AIRPORT AUTO,-0.5,0,1096631,,87,,,,2020-12-10 00:00:00,,,0,1,
-122.50639083333333,53.02666888888889,,,-3.5,12,95,-2.2,,1096631.2020.12.11,,,2020,,,,20.2,,,BC,11,QUESNEL AIRPORT AUTO,-0.8,0,1096631,,86,,,,2020-12-11 00:00:00,,,0,1,
-122.50639083333333,53.02666888888889,,,-3.1,12,95,-1.8,,1096631.2020.12.12,,,2020,,,,19.8,,,BC,12,QUESNEL AIRPORT AUTO,-0.6,0,1096631,,78,,,,2020-12-12 00:00:00,,,0,1,
-122.50639083333333,53.02666888888889,,,-7.7,12,93,-5.3,,1096631.2020.12.13,,,2020,,,,23.3,,,BC,13,QUESNEL AIRPORT AUTO,-2.9,0,1096631,,76,,,,2020-12-13 00:00:00,,,0.5,,
-122.50639083333333,53.02666888888889,,,-10.1,12,95,-5.7,,1096631.2020.12.14,,,2020,,,,23.7,,,BC,14,QUESNEL AIRPORT AUTO,-1.3,0,1096631,,81,,,,2020-12-14 00:00:00,,,0,,
-122.50639083333333,53.02666888888889,,,-5.5,12,97,-1.4,,1096631.2020.12.15,,,2020,,,,19.4,,,BC,15,QUESNEL AIRPORT AUTO,2.7,0,1096631,,69,,,,2020-12-15 00:00:00,,,0.9,0,
-122.50639083333333,53.02666888888889,,,-2.2,12,93,1.1,,1096631.2020.12.16,,,2020,,,,16.9,,13,BC,16,QUESNEL AIRPORT AUTO,4.4,0,1096631,,62,,,33,2020-12-16 00:00:00,,,0.8,0,
-122.50639083333333,53.02666888888889,,,-1.8,12,99,-0.4,,1096631.2020.12.17,,,2020,,,,18.4,,,BC,17,QUESNEL AIRPORT AUTO,1.1,0,1096631,,94,,,,2020-12-17 00:00:00,,,2.1,0,
-122.50639083333333,53.02666888888889,,,-0.6,12,98,2,,1096631.2020.12.18,,,2020,,,,16,,15,BC,18,QUESNEL AIRPORT AUTO,4.5,0,1096631,,70,,,43,2020-12-18 00:00:00,,,2.1,0,
-122.50639083333333,53.02666888888889,,,-4.9,12,88,0.3,,1096631.2020.12.19,,,2020,,,,17.7,,12,BC,19,QUESNEL AIRPORT AUTO,5.5,0,1096631,,52,,,45,2020-12-19 00:00:00,,,0,,
-122.50639083333333,53.02666888888889,,,-4.3,12,90,1.4,,1096631.2020.12.20,,,2020,,,,16.6,,11,BC,20,QUESNEL AIRPORT AUTO,7.1,0,1096631,,39,,,38,2020-12-20 00:00:00,,,0,,
-122.50639083333333,53.02666888888889,,,-4.3,12,87,-2.5,,1096631.2020.12.21,,,2020,,,,20.5,M,,BC,21,QUESNEL AIRPORT AUTO,-0.6,0,1096631,,73,M,,,2020-12-21 00:00:00,,,0,0,
-122.50639083333333,53.02666888888889,,,-8.9,12,89,-4.9,,1096631.2020.12.22,,,2020,,,,22.9,,,BC,22,QUESNEL AIRPORT AUTO,-0.9,0,1096631,,62,,,,2020-12-22 00:00:00,,,0,0,
-122.50639083333333,53.02666888888889,M,M,,12,,,,1096631.2020.12.23,M,,2020,M,,,,M,,BC,23,QUESNEL AIRPORT AUTO,,,1096631,,,M,M,,2020-12-23 00:00:00,M,M,,0,M
-122.50639083333333,53.02666888888889,,,-3.8,12,79,-2,,1096631.2020.12.24,,,2020,,,,20,,16,BC,24,QUESNEL AIRPORT AUTO,-0.2,0,1096631,,57,,,34,2020-12-24 00:00:00,,,0,0,
-122.50639083333333,53.02666888888889,,,-4.6,12,85,-1,,1096631.2020.12.25,,,2020,,,,19,,,BC,25,QUESNEL AIRPORT AUTO,2.7,0,1096631,,47,,,,2020-12-25 00:00:00,,,0,0,
-122.50639083333333,53.02666888888889,,,-3.9,12,97,-2.5,,1096631.2020.12.26,,,2020,,,,20.5,,,BC,26,QUESNEL AIRPORT AUTO,-1.1,0,1096631,,76,,,,2020-12-26 00:00:00,,,4.3,0,
-122.50639083333333,53.02666888888889,,,-6.4,12,98,-3.6,,1096631.2020.12.27,,,2020,,,,21.6,,,BC,27,QUESNEL AIRPORT AUTO,-0.8,0,1096631,,90,,,,2020-12-27 00:00:00,,,1.6,6,
-122.50639083333333,53.02666888888889,,,-7.7,12,96,-5.6,,1096631.2020.12.28,,,2020,,,,23.6,,,BC,28,QUESNEL AIRPORT AUTO,-3.5,0,1096631,,92,,,,2020-12-28 00:00:00,,,0,6,
-122.50639083333333,53.02666888888889,,,-13.4,12,94,-9.7,,1096631.2020.12.29,,,2020,,,,27.7,,,BC,29,QUESNEL AIRPORT AUTO,-6,0,1096631,,88,,,,2020-12-29 00:00:00,,,0,5,
-122.50639083333333,53.02666888888889,,,-9.5,12,96,-6,,1096631.2020.12.30,,,2020,,,,24,,,BC,30,QUESNEL AIRPORT AUTO,-2.6,0,1096631,,91,,,,2020-12-30 00:00:00,,,5,4,
-122.50639083333333,53.02666888888889,,,-3.3,12,98,-1.8,,1096631.2020.12.31,,,2020,,,,19.8,,13,BC,31,QUESNEL AIRPORT AUTO,-0.4,0,1096631,,83,,,33,2020-12-31 00:00:00,,,2.5,11,
-122.50639083333333,53.02666888888889,,,-2.8,1,86,1.4,,1096631.2021.1.1,,,2021,,,,16.6,,12,BC,1,QUESNEL AIRPORT AUTO,5.7,0,1096631,,70,,,32,2021-01-01 00:00:00,,,0,10,
-122.50639083333333,53.02666888888889,,,0.3,1,92,3.8,,1096631.2021.1.2,,,2021,,,,14.2,,18,BC,2,QUESNEL AIRPORT AUTO,7.2,0,1096631,,52,,,43,2021-01-02 00:00:00,,,0.3,7,
-122.50639083333333,53.02666888888889,,,-8.4,1,91,-2.8,,1096631.2021.1.3,,,2021,,,,20.8,,,BC,3,QUESNEL AIRPORT AUTO,2.8,0,1096631,,51,,,,2021-01-03 00:00:00,,,0,3,
-122.50639083333333,53.02666888888889,,,-9.5,1,98,-3.7,,1096631.2021.1.4,,,2021,,,,21.7,,,BC,4,QUESNEL AIRPORT AUTO,2.2,0,1096631,,83,,,,2021-01-04 00:00:00,,,1.9,3,
-122.50639083333333,53.02666888888889,,,-5.5,1,98,-0.4,,1096631.2021.1.5,,,2021,,,,18.4,,14,BC,5,QUESNEL AIRPORT AUTO,4.7,0,1096631,,56,,,64,2021-01-05 00:00:00,,,0,4,
-122.50639083333333,53.02666888888889,,,-5.1,1,88,0.9,,1096631.2021.1.6,,,2021,,,,17.1,,11,BC,6,QUESNEL AIRPORT AUTO,6.9,0,1096631,,43,,,38,2021-01-06 00:00:00,,,0,3,
-122.50639083333333,53.02666888888889,,,-9.2,1,96,-5,,1096631.2021.1.7,,,2021,,,,23,,,BC,7,QUESNEL AIRPORT AUTO,-0.8,0,1096631,,72,,,,2021-01-07 00:00:00,,,0.7,2,
-122.50639083333333,53.02666888888889,,,-9.7,1,94,-2.8,,1096631.2021.1.8,,,2021,,,,20.8,,13,BC,8,QUESNEL AIRPORT AUTO,4.2,0,1096631,,57,,,31,2021-01-08 00:00:00,,,0,2,
-122.50639083333333,53.02666888888889,,,-9.5,1,96,-3.3,,1096631.2021.1.9,,,2021,,,,21.3,,12,BC,9,QUESNEL AIRPORT AUTO,3,0,1096631,,55,,,42,2021-01-09 00:00:00,,,0.1,3,
-122.50639083333333,53.02666888888889,,,0.6,1,65,2.8,,1096631.2021.1.10,,,2021,,,,15.2,,12,BC,10,QUESNEL AIRPORT AUTO,5,0,1096631,,55,,,45,2021-01-10 00:00:00,,,0,3,
-122.50639083333333,53.02666888888889,,,-2.7,1,84,2.8,,1096631.2021.1.11,,,2021,,,,15.2,,15,BC,11,QUESNEL AIRPORT AUTO,8.4,0,1096631,,46,,,48,2021-01-11 00:00:00,,,0,2,
-122.50639083333333,53.02666888888889,,,-1,1,91,2.9,,1096631.2021.1.12,,,2021,,,,15.1,,11,BC,12,QUESNEL AIRPORT AUTO,6.8,0,1096631,,60,,,43,2021-01-12 00:00:00,,,0.8,1,
-122.50639083333333,53.02666888888889,,,-5,1,88,-0.4,,1096631.2021.1.13,,,2021,,,,18.4,,32,BC,13,QUESNEL AIRPORT AUTO,4.2,0,1096631,,56,,,37,2021-01-13 00:00:00,,,0,0,
-122.50639083333333,53.02666888888889,,,-7.3,1,94,-2.8,,1096631.2021.1.14,,,2021,,,,20.8,,12,BC,14,QUESNEL AIRPORT AUTO,1.7,0,1096631,,62,,,36,2021-01-14 00:00:00,,,0,0,
-122.50639083333333,53.02666888888889,,,-2.5,1,89,1.3,,1096631.2021.1.15,,,2021,,,,16.7,,13,BC,15,QUESNEL AIRPORT AUTO,5,0,1096631,,54,,,40,2021-01-15 00:00:00,,,0,1,
-122.50639083333333,53.02666888888889,,,-3,1,93,-1.2,,1096631.2021.1.16,,,2021,,,,19.2,,,BC,16,QUESNEL AIRPORT AUTO,0.6,0,1096631,,69,,,,2021-01-16 00:00:00,,,1,1,
-122.50639083333333,53.02666888888889,,,-5,1,96,-0.4,,1096631.2021.1.17,,,2021,,,,18.4,,,BC,17,QUESNEL AIRPORT AUTO,4.2,0,1096631,,63,,,,2021-01-17 00:00:00,,,0,1,
-122.50639083333333,53.02666888888889,,,-5.6,1,97,-1,,1096631.2021.1.18,,,2021,,,,19,,,BC,18,QUESNEL AIRPORT AUTO,3.5,0,1096631,,73,,,,2021-01-18 00:00:00,,,0,1,
-122.50639083333333,53.02666888888889,,,-4.7,1,93,1.7,,1096631.2021.1.19,,,2021,,,,16.3,,25,BC,19,QUESNEL AIRPORT AUTO,8.1,0,1096631,,26,,,62,2021-01-19 00:00:00,,,0,1,
-122.50639083333333,53.02666888888889,,,-9.2,1,90,-4.5,,1096631.2021.1.20,,,2021,,,,22.5,,,BC,20,QUESNEL AIRPORT AUTO,0.3,0,1096631,,54,,,,2021-01-20 00:00:00,,,0,1,
-122.50639083333333,53.02666888888889,,,-11.9,1,92,-8.3,,1096631.2021.1.21,,,2021,,,,26.3,,,BC,21,QUESNEL AIRPORT AUTO,-4.7,0,1096631,,64,,,,2021-01-21 00:00:00,,,0,1,
-122.50639083333333,53.02666888888889,,,-12.1,1,93,-10.7,,1096631.2021.1.22,,,2021,,,,28.7,,,BC,22,QUESNEL AIRPORT AUTO,-9.4,0,1096631,,84,,,,2021-01-22 00:00:00,,,0,1,
-122.50639083333333,53.02666888888889,,,-12.1,1,88,-8.7,,1096631.2021.1.23,,,2021,,,,26.7,,,BC,23,QUESNEL AIRPORT AUTO,-5.2,0,1096631,,73,,,,2021-01-23 00:00:00,,,0,1,
-122.50639083333333,53.02666888888889,,,-6.1,1,94,-4.8,,1096631.2021.1.24,,,2021,,,,22.8,,,BC,24,QUESNEL AIRPORT AUTO,-3.4,0,1096631,,72,,,,2021-01-24 00:00:00,,,1.6,1,
-122.50639083333333,53.02666888888889,,,-9.1,1,95,-5.8,,1096631.2021.1.25,,,2021,,,,23.8,,,BC,25,QUESNEL AIRPORT AUTO,-2.6,0,1096631,,82,,,,2021-01-25 00:00:00,,,0.4,2,
-122.50639083333333,53.02666888888889,,,-9.2,1,95,-4.7,,1096631.2021.1.26,,,2021,,,,22.7,,,BC,26,QUESNEL AIRPORT AUTO,-0.3,0,1096631,,61,,,,2021-01-26 00:00:00,,,0,2,
-122.50639083333333,53.02666888888889,,,-11.8,1,94,-8.1,,1096631.2021.1.27,,,2021,,,,26.1,,,BC,27,QUESNEL AIRPORT AUTO,-4.3,0,1096631,,75,,,,2021-01-27 00:00:00,,,1.4,1,
-122.50639083333333,53.02666888888889,,,-13.9,1,75,-12.9,,1096631.2021.1.28,,,2021,,,,30.9,,,BC,28,QUESNEL AIRPORT AUTO,-11.8,0,1096631,,69,,,,2021-01-28 00:00:00,,,0,7,
-122.50639083333333,53.02666888888889,,,-15.9,1,86,-10.9,,1096631.2021.1.29,,,2021,,,,28.9,,,BC,29,QUESNEL AIRPORT AUTO,-5.9,0,1096631,,75,,,,2021-01-29 00:00:00,,,0,6,
-122.50639083333333,53.02666888888889,,,-13.9,1,95,-8.5,,1096631.2021.1.30,,,2021,,,,26.5,,,BC,30,QUESNEL AIRPORT AUTO,-3,0,1096631,,78,,,,2021-01-30 00:00:00,,,0,5,
-122.50639083333333,53.02666888888889,,,-9.4,1,96,-4.5,,1096631.2021.1.31,,,2021,,,,22.5,,,BC,31,QUESNEL AIRPORT AUTO,0.4,0,1096631,,86,,,,2021-01-31 00:00:00,,,0,5,
-122.50639083333333,53.02666888888889,,,-3.6,2,98,-2.2,,1096631.2021.2.1,,,2021,,,,20.2,,,BC,1,QUESNEL AIRPORT AUTO,-0.8,0,1096631,,88,,,,2021-02-01 00:00:00,,,3.6,5,
-122.50639083333333,53.02666888888889,,,-8.2,2,95,-5,,1096631.2021.2.2,,,2021,,,,23,,,BC,2,QUESNEL AIRPORT AUTO,-1.8,0,1096631,,82,,,,2021-02-02 00:00:00,,,0.1,7,
-122.50639083333333,53.02666888888889,,,-10.7,2,92,-7.6,,1096631.2021.2.3,,,2021,,,,25.6,,,BC,3,QUESNEL AIRPORT AUTO,-4.4,0,1096631,,68,,,,2021-02-03 00:00:00,,,1.3,7,
-122.50639083333333,53.02666888888889,,,-4.4,2,97,-2.6,,1096631.2021.2.4,,,2021,,,,20.6,M,,BC,4,QUESNEL AIRPORT AUTO,-0.8,0,1096631,,80,M,,,2021-02-04 00:00:00,,,10.2,13,
-122.50639083333333,53.02666888888889,,,-7.9,2,98,-4.3,,1096631.2021.2.5,,,2021,,,,22.3,M,,BC,5,QUESNEL AIRPORT AUTO,-0.7,0,1096631,,89,M,,,2021-02-05 00:00:00,,,6.3,24,
