x,y,ID,TOTAL_RAIN,SNOW_ON_GROUND,TOTAL_SNOW_FLAG,TOTAL_SNOW,MAX_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,CLIMATE_IDENTIFIER,COOLING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,LOCAL_MONTH,PROVINCE_CODE,LOCAL_YEAR,STATION_NAME,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE_FLAG,MAX_TEMPERATURE,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,LOCAL_DATE,MIN_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,LOCAL_DAY,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,SPEED_MAX_GUST,MIN_TEMPERATURE,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST
-118.58527777777778,52.05305555555555,1175122.2020.4.1,0,,,0,,,1175122,M,M,M,,4,BC,2020,MICA DAM,,,-1,,,,M,2020-04-01 00:00:00,,,0,1,,,,,,
-118.58527777777778,52.05305555555555,1175122.2020.4.2,0,146,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,0,-5,,0,,2020-04-02 00:00:00,,23,0,2,,,,-10,,
-118.58527777777778,52.05305555555555,1175122.2020.4.3,0,146,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,2.5,-2.8,,0,,2020-04-03 00:00:00,,20.8,0,3,,,,-8,,
-118.58527777777778,52.05305555555555,1175122.2020.4.4,0,144,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,5,-2.5,,0,,2020-04-04 00:00:00,,20.5,0,4,,,,-10,,
-118.58527777777778,52.05305555555555,1175122.2020.4.5,,144,,,,,1175122,M,M,,,4,BC,2020,MICA DAM,,M,,,,,M,2020-04-05 00:00:00,,,,5,,,,-10,,
-118.58527777777778,52.05305555555555,1175122.2020.4.6,0,,,0,,,1175122,M,M,M,,4,BC,2020,MICA DAM,,,7,,,,M,2020-04-06 00:00:00,,,0,6,,,,,,
-118.58527777777778,52.05305555555555,1175122.2020.4.7,,142,,,,,1175122,M,M,,,4,BC,2020,MICA DAM,,M,,,,,M,2020-04-07 00:00:00,,,,7,,,,-6,,
-118.58527777777778,52.05305555555555,1175122.2020.4.8,0,,,0,,,1175122,M,M,M,,4,BC,2020,MICA DAM,,,7,,,,M,2020-04-08 00:00:00,,,0,8,,,,,,
-118.58527777777778,52.05305555555555,1175122.2020.4.9,0,140,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,7.5,3.3,,0,,2020-04-09 00:00:00,,14.7,0,9,,,,-1,,
-118.58527777777778,52.05305555555555,1175122.2020.4.10,,138,,,,,1175122,M,M,,,4,BC,2020,MICA DAM,,M,,,,,M,2020-04-10 00:00:00,,,,10,,,,-1.5,,
-118.58527777777778,52.05305555555555,1175122.2020.4.11,0,,,0,,,1175122,M,M,M,,4,BC,2020,MICA DAM,,,6,,,,M,2020-04-11 00:00:00,,,0,11,,,,,,
-118.58527777777778,52.05305555555555,1175122.2020.4.12,0,134,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,7,0.5,,0,,2020-04-12 00:00:00,,17.5,0,12,,,,-6,,
-118.58527777777778,52.05305555555555,1175122.2020.4.13,0,130,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,7,0,,0,,2020-04-13 00:00:00,,18,0,13,,,,-7,,
-118.58527777777778,52.05305555555555,1175122.2020.4.14,1.8,128,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,8.5,1.3,,0,,2020-04-14 00:00:00,,16.7,1.8,14,,,,-6,,
-118.58527777777778,52.05305555555555,1175122.2020.4.15,0,126,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,11,5,,0,,2020-04-15 00:00:00,,13,0,15,,,,-1,,
-118.58527777777778,52.05305555555555,1175122.2020.4.16,0,124,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,9,2.5,,0,,2020-04-16 00:00:00,,15.5,0,16,,,,-4,,
-118.58527777777778,52.05305555555555,1175122.2020.4.17,1,122,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,6,1,,0,,2020-04-17 00:00:00,,17,1,17,,,,-4,,
-118.58527777777778,52.05305555555555,1175122.2020.4.18,0,120,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,10,5.3,,0,,2020-04-18 00:00:00,,12.7,0,18,,,,0.5,,
-118.58527777777778,52.05305555555555,1175122.2020.4.19,0,118,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,9.5,4.3,,0,,2020-04-19 00:00:00,,13.7,0,19,,,,-1,,
-118.58527777777778,52.05305555555555,1175122.2020.4.20,0,114,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,11,4.5,,0,,2020-04-20 00:00:00,,13.5,0,20,,,,-2,,
-118.58527777777778,52.05305555555555,1175122.2020.4.21,1.4,110,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,7,3,,0,,2020-04-21 00:00:00,,15,1.4,21,,,,-1,,
-118.58527777777778,52.05305555555555,1175122.2020.4.22,1.6,108,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,10,5.5,,0,,2020-04-22 00:00:00,,12.5,1.6,22,,,,1,,
-118.58527777777778,52.05305555555555,1175122.2020.4.23,0,104,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,11,6,,0,,2020-04-23 00:00:00,,12,0,23,,,,1,,
-118.58527777777778,52.05305555555555,1175122.2020.4.24,0.4,100,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,9,4.8,,0,,2020-04-24 00:00:00,,13.2,0.4,24,,,,0.5,,
-118.58527777777778,52.05305555555555,1175122.2020.4.25,19.4,97,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,4,1.8,,0,,2020-04-25 00:00:00,,16.2,19.4,25,,,,-0.5,,
-118.58527777777778,52.05305555555555,1175122.2020.4.26,,92,,,,,1175122,M,M,,,4,BC,2020,MICA DAM,,M,,,,,M,2020-04-26 00:00:00,,,,26,,,,1,,
-118.58527777777778,52.05305555555555,1175122.2020.4.27,7.2,,,0,,,1175122,M,M,M,,4,BC,2020,MICA DAM,,,5.5,,,,M,2020-04-27 00:00:00,,,7.2,27,,,,,,
-118.58527777777778,52.05305555555555,1175122.2020.4.28,1.6,82,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,11,6.5,,0,,2020-04-28 00:00:00,,11.5,1.6,28,,,,2,,
-118.58527777777778,52.05305555555555,1175122.2020.4.29,10.4,82,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,9,5.5,,0,,2020-04-29 00:00:00,,12.5,10.4,29,,,,2,,
-118.58527777777778,52.05305555555555,1175122.2020.4.30,0,74,,0,,,1175122,,,,,4,BC,2020,MICA DAM,,,10,6,,0,,2020-04-30 00:00:00,,12,0,30,,,,2,,
-118.58527777777778,52.05305555555555,1175122.2020.5.1,0,70,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,10,4.5,,0,,2020-05-01 00:00:00,,13.5,0,1,,,,-1,,
-118.58527777777778,52.05305555555555,1175122.2020.5.2,4.6,68,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,14,6.8,,0,,2020-05-02 00:00:00,,11.2,4.6,2,,,,-0.5,,
-118.58527777777778,52.05305555555555,1175122.2020.5.3,0.8,62,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,12,6.3,,0,,2020-05-03 00:00:00,,11.7,0.8,3,,,,0.5,,
-118.58527777777778,52.05305555555555,1175122.2020.5.4,0,60,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,9,5.5,,0,,2020-05-04 00:00:00,,12.5,0,4,,,,2,,
-118.58527777777778,52.05305555555555,1175122.2020.5.5,0,56,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,15,7,,0,,2020-05-05 00:00:00,,11,0,5,,,,-1,,
-118.58527777777778,52.05305555555555,1175122.2020.5.6,14,52,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,8,4,,0,,2020-05-06 00:00:00,,14,14,6,,,,0,,
-118.58527777777778,52.05305555555555,1175122.2020.5.7,0,46,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,13.5,8.3,,0,,2020-05-07 00:00:00,,9.7,0,7,,,,3,,
-118.58527777777778,52.05305555555555,1175122.2020.5.8,0,42,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,18,9,,0,,2020-05-08 00:00:00,,9,0,8,,,,0,,
-118.58527777777778,52.05305555555555,1175122.2020.5.9,0,34,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,19,10,,0,,2020-05-09 00:00:00,,8,0,9,,,,1,,
-118.58527777777778,52.05305555555555,1175122.2020.5.10,0,28,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,16,8.8,,0,,2020-05-10 00:00:00,,9.2,0,10,,,,1.5,,
-118.58527777777778,52.05305555555555,1175122.2020.5.11,0,26,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,16,9.5,,0,,2020-05-11 00:00:00,,8.5,0,11,,,,3,,
-118.58527777777778,52.05305555555555,1175122.2020.5.12,0,15,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,16,7.8,,0,,2020-05-12 00:00:00,,10.2,0,12,,,,-0.5,,
-118.58527777777778,52.05305555555555,1175122.2020.5.13,0,10,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,20,9.5,,0,,2020-05-13 00:00:00,,8.5,0,13,,,,-1,,
-118.58527777777778,52.05305555555555,1175122.2020.5.14,0,5,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,20,9.5,,0,,2020-05-14 00:00:00,,8.5,0,14,,,,-1,,
-118.58527777777778,52.05305555555555,1175122.2020.5.15,0.6,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,19,11.5,,0,,2020-05-15 00:00:00,,6.5,0.6,15,,,,4,,
-118.58527777777778,52.05305555555555,1175122.2020.5.16,1.2,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,15,10,,0,,2020-05-16 00:00:00,,8,1.2,16,,,,5,,
-118.58527777777778,52.05305555555555,1175122.2020.5.17,1,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,16,10,,0,,2020-05-17 00:00:00,,8,1,17,,,,4,,
-118.58527777777778,52.05305555555555,1175122.2020.5.18,0,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,15,9.5,,0,,2020-05-18 00:00:00,,8.5,0,18,,,,4,,
-118.58527777777778,52.05305555555555,1175122.2020.5.19,0,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,21,11,,0,,2020-05-19 00:00:00,,7,0,19,,,,1,,
-118.58527777777778,52.05305555555555,1175122.2020.5.20,1.6,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,22,11.5,,0,,2020-05-20 00:00:00,,6.5,1.6,20,,,,1,,
-118.58527777777778,52.05305555555555,1175122.2020.5.21,8.8,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,10,6.5,,0,,2020-05-21 00:00:00,,11.5,8.8,21,,,,3,,
-118.58527777777778,52.05305555555555,1175122.2020.5.22,0.6,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,21,13.5,,0,,2020-05-22 00:00:00,,4.5,0.6,22,,,,6,,
-118.58527777777778,52.05305555555555,1175122.2020.5.23,0.4,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,21,14,,0,,2020-05-23 00:00:00,,4,0.4,23,,,,7,,
-118.58527777777778,52.05305555555555,1175122.2020.5.24,1,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,21,14,,0,,2020-05-24 00:00:00,,4,1,24,,,,7,,
-118.58527777777778,52.05305555555555,1175122.2020.5.25,8.8,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,15.5,11.3,,0,,2020-05-25 00:00:00,,6.7,8.8,25,,,,7,,
-118.58527777777778,52.05305555555555,1175122.2020.5.26,1.4,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,18,12.8,,0,,2020-05-26 00:00:00,,5.2,1.4,26,,,,7.5,,
-118.58527777777778,52.05305555555555,1175122.2020.5.27,0,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,20,9.5,,0,,2020-05-27 00:00:00,,8.5,0,27,,,,-1,,
-118.58527777777778,52.05305555555555,1175122.2020.5.28,0,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,17,8,,0,,2020-05-28 00:00:00,,10,0,28,,,,-1,,
-118.58527777777778,52.05305555555555,1175122.2020.5.29,1.8,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,22,12.5,,0,,2020-05-29 00:00:00,,5.5,1.8,29,,,,3,,
-118.58527777777778,52.05305555555555,1175122.2020.5.30,3.4,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,18,12,,0,,2020-05-30 00:00:00,,6,3.4,30,,,,6,,
-118.58527777777778,52.05305555555555,1175122.2020.5.31,1.8,0,,0,,,1175122,,,,,5,BC,2020,MICA DAM,,,14,11,,0,,2020-05-31 00:00:00,,7,1.8,31,,,,8,,
-118.58527777777778,52.05305555555555,1175122.2020.6.1,4.2,0,,0,,,1175122,,,,,6,BC,2020,MICA DAM,,,13,10.5,,0,,2020-06-01 00:00:00,,7.5,4.2,1,,,,8,,
-118.58527777777778,52.05305555555555,1175122.2020.6.2,17.8,0,,0,,,1175122,,,,,6,BC,2020,MICA DAM,,,11.5,9,,0,,2020-06-02 00:00:00,,9,17.8,2,,,,6.5,,
