,Year,Week,Province,"Age at time of death_Age at time of death, 0 to 44 years","Age at time of death_Age at time of death, 45 to 64 years","Age at time of death_Age at time of death, 65 to 84 years","Age at time of death_Age at time of death, 85 years and over","Age at time of death_Age at time of death, 0 to 44 years female","Age at time of death_Age at time of death, 45 to 64 years female","Age at time of death_Age at time of death, 65 to 84 years female","Age at time of death_Age at time of death, 85 years and over female"
0,2019,2019-01-05,Alberta,1,1,1,1,15.0,25.0,100.0,100.0
1,2019,2019-01-05,BC,1,1,1,1,20.0,45.0,155.0,165.0
2,2019,2019-01-05,Manitoba,1,1,1,1,10.0,20.0,40.0,50.0
3,2019,2019-01-05,New Brunswick,1,1,1,1,0.0,10.0,35.0,35.0
4,2019,2019-01-05,Newfoundland and Labrador,1,1,1,1,0.0,10.0,25.0,10.0
5,2019,2019-01-05,Northwest Territories,1,1,1,1,0.0,5.0,0.0,0.0
6,2019,2019-01-05,Nova Scotia,1,1,1,1,0.0,15.0,40.0,50.0
7,2019,2019-01-05,Nunavut,1,1,1,1,0.0,0.0,0.0,0.0
8,2019,2019-01-05,ON,1,1,1,1,45.0,145.0,450.0,495.0
9,2019,2019-01-05,Prince Edward Island,1,1,1,1,0.0,0.0,0.0,10.0
10,2019,2019-01-05,QC,1,1,1,1,15.0,90.0,310.0,360.0
11,2019,2019-01-05,Saskatchewan,1,1,1,1,5.0,15.0,40.0,55.0
12,2019,2019-01-05,Yukon,1,1,1,1,0.0,0.0,0.0,0.0
13,2019,2019-01-12,Alberta,1,1,1,1,20.0,35.0,95.0,110.0
14,2019,2019-01-12,BC,1,1,1,1,20.0,50.0,175.0,195.0
15,2019,2019-01-12,Manitoba,1,1,1,1,10.0,15.0,50.0,55.0
16,2019,2019-01-12,New Brunswick,1,1,1,1,5.0,10.0,30.0,30.0
17,2019,2019-01-12,Newfoundland and Labrador,1,1,1,1,0.0,5.0,25.0,25.0
18,2019,2019-01-12,Northwest Territories,1,1,1,1,0.0,0.0,0.0,0.0
19,2019,2019-01-12,Nova Scotia,1,1,1,1,5.0,10.0,40.0,45.0
20,2019,2019-01-12,Nunavut,1,1,1,1,0.0,0.0,5.0,0.0
21,2019,2019-01-12,ON,1,1,1,1,30.0,120.0,390.0,505.0
22,2019,2019-01-12,Prince Edward Island,1,1,1,1,0.0,0.0,0.0,5.0
23,2019,2019-01-12,QC,1,1,1,1,10.0,80.0,285.0,335.0
24,2019,2019-01-12,Saskatchewan,1,1,1,1,5.0,20.0,30.0,45.0
25,2019,2019-01-12,Yukon,1,1,1,1,0.0,0.0,0.0,0.0
26,2019,2019-01-19,Alberta,1,1,1,1,15.0,40.0,105.0,115.0
27,2019,2019-01-19,BC,1,1,1,1,10.0,35.0,135.0,180.0
28,2019,2019-01-19,Manitoba,1,1,1,1,5.0,15.0,40.0,40.0
29,2019,2019-01-19,New Brunswick,1,1,1,1,0.0,10.0,35.0,35.0
30,2019,2019-01-19,Newfoundland and Labrador,1,1,1,1,5.0,5.0,25.0,25.0
31,2019,2019-01-19,Northwest Territories,1,1,1,1,0.0,0.0,0.0,0.0
32,2019,2019-01-19,Nova Scotia,1,1,1,1,0.0,10.0,30.0,40.0
33,2019,2019-01-19,Nunavut,1,1,1,1,0.0,0.0,0.0,0.0
34,2019,2019-01-19,ON,1,1,1,1,40.0,115.0,445.0,530.0
35,2019,2019-01-19,Prince Edward Island,1,1,1,1,0.0,5.0,5.0,5.0
36,2019,2019-01-19,QC,1,1,1,1,20.0,65.0,300.0,340.0
37,2019,2019-01-19,Saskatchewan,1,1,1,1,5.0,5.0,35.0,40.0
38,2019,2019-01-19,Yukon,1,1,1,1,0.0,0.0,0.0,0.0
39,2019,2019-01-26,Alberta,1,1,1,1,15.0,45.0,95.0,100.0
40,2019,2019-01-26,BC,1,1,1,1,10.0,35.0,140.0,165.0
41,2019,2019-01-26,Manitoba,1,1,1,1,10.0,10.0,35.0,40.0
42,2019,2019-01-26,New Brunswick,1,1,1,1,0.0,15.0,35.0,35.0
43,2019,2019-01-26,Newfoundland and Labrador,1,1,1,1,0.0,10.0,20.0,15.0
44,2019,2019-01-26,Northwest Territories,1,1,1,1,0.0,0.0,0.0,5.0
45,2019,2019-01-26,Nova Scotia,1,1,1,1,0.0,10.0,35.0,55.0
46,2019,2019-01-26,Nunavut,1,1,1,1,0.0,0.0,0.0,0.0
