"Date of visit*","Total

Number of ED visits, pre-pandemic","P.E.I.

Number of ED visits, pre-pandemic","N.S.

Number of ED visits, pre-pandemic","Que.

Number of ED visits, pre-pandemic","Ont.

Number of ED visits, pre-pandemic","Man. 

Number of ED visits, pre-pandemic","Sask.

Number of ED visits, pre-pandemic","Alta.

Number of ED visits, pre-pandemic","B.C.

Number of ED visits, pre-pandemic","Y.T.

Number of ED visits, pre-pandemic","Total

Number of ED visits, pandemic period","P.E.I.

Number of ED visits, pandemic period","N.S.

Number of ED visits, pandemic period","Que.

Number of ED visits, pandemic period","Ont.

Number of ED visits, pandemic period","Man.

Number of ED visits, pandemic period","Sask.

Number of ED visits, pandemic period","Alta.

Number of ED visits, pandemic period","B.C.

Number of ED visits, pandemic period","Y.T.

Number of ED visits, pandemic period","Total
Percentage change, pre-pandemic to pandemic period","P.E.I.
Percentage change, pre-pandemic to pandemic period","N.S.
Percentage change, pre-pandemic to pandemic period","Que.
Percentage change, pre-pandemic to pandemic period","Ont.
Percentage change, pre-pandemic to pandemic period","Man.
Percentage change, pre-pandemic to pandemic period","Sask.
Percentage change, pre-pandemic to pandemic period","Alta.
Percentage change, pre-pandemic to pandemic period","B.C.
Percentage change, pre-pandemic to pandemic period","Y.T.
Percentage change, pre-pandemic to pandemic period"
01-Mar-20,"40,722",72,821,"10,038","17,651",855,824,"5,717","4,633",111,"39,700",69,870,"9,208","16,725",864,961,"6,176","4,725",102,-1%,-4%,6%,-8%,-5%,1%,17%,8%,2%,-8%
02-Mar-20,"39,225",63,825,"9,385","16,979",821,776,"5,661","4,616",99,"44,688",78,985,"10,999","18,747",948,"1,001","6,853","4,926",151,13%,24%,19%,17%,10%,15%,29%,21%,7%,53%
03-Mar-20,"40,244",74,787,"9,708","17,307",859,824,"5,821","4,758",106,"42,282",68,896,"10,574","17,646",833,937,"6,530","4,656",142,4%,-8%,14%,9%,2%,-3%,14%,12%,-2%,34%
04-Mar-20,"44,550",59,806,"11,279","18,993",894,871,"6,488","5,036",124,"41,266",67,862,"10,100","17,277",870,947,"6,414","4,589",140,-6%,14%,7%,-10%,-9%,-3%,9%,-1%,-9%,13%
05-Mar-20,"41,358",58,936,"10,408","17,406",838,857,"5,966","4,785",104,"40,395",63,884,"10,300","16,537",870,926,"6,185","4,526",104,-3%,9%,-6%,-1%,-5%,4%,8%,4%,-5%,0%
06-Mar-20,"40,833",66,882,"10,292","17,232",817,844,"6,075","4,532",93,"40,546",70,888,"10,185","16,664",840,898,"6,229","4,638",134,-1%,6%,1%,-1%,-3%,3%,6%,3%,2%,44%
07-Mar-20,"40,788",73,827,"10,209","17,175",845,839,"6,151","4,561",108,"36,940",70,753,"8,931","15,448",826,895,"5,611","4,289",117,-8%,-4%,-9%,-13%,-10%,-2%,7%,-9%,-6%,8%
08-Mar-20,"41,315",69,794,"10,348","17,500",896,888,"6,164","4,542",114,"36,980",68,773,"8,723","15,636",836,877,"5,702","4,254",111,-9%,-1%,-3%,-16%,-11%,-7%,-1%,-7%,-6%,-3%
09-Mar-20,"39,820",83,819,"9,568","16,771",832,866,"6,133","4,641",107,"43,215",79,908,"10,639","18,446",891,950,"6,517","4,659",126,8%,-5%,11%,11%,10%,7%,10%,6%,0%,18%
10-Mar-20,"38,924",81,832,"8,810","16,327",814,876,"6,158","4,926",100,"40,364",68,841,"9,913","17,144",942,865,"6,048","4,430",113,1%,-16%,1%,13%,5%,16%,-1%,-2%,-10%,13%
11-Mar-20,"45,713",85,914,"11,229","19,294",963,956,"7,049","5,123",100,"40,585",66,872,"10,110","17,185",995,881,"5,954","4,412",110,-12%,-22%,-5%,-10%,-11%,3%,-8%,-16%,-14%,10%
12-Mar-20,"43,593",83,922,"11,174","18,148",947,869,"6,553","4,803",94,"40,841",66,743,"10,207","17,386","1,030",869,"5,845","4,566",129,-6%,-20%,-19%,-9%,-4%,9%,0%,-11%,-5%,37%
13-Mar-20,"42,754",89,930,"10,954","17,683",896,896,"6,401","4,812",93,"37,601",60,700,"9,161","16,193",894,766,"5,267","4,452",108,-11%,-33%,-25%,-16%,-8%,0%,-15%,-18%,-7%,16%
14-Mar-20,"42,459",74,869,"10,736","17,723",879,891,"6,489","4,697",101,"32,811",60,648,"7,872","13,987",755,717,"4,814","3,867",91,-21%,-19%,-25%,-27%,-21%,-14%,-20%,-26%,-18%,-10%
15-Mar-20,"43,077",76,864,"10,910","17,845",908,872,"6,605","4,876",121,"32,224",51,716,"7,665","13,462",749,790,"4,817","3,894",80,-24%,-33%,-17%,-30%,-25%,-18%,-9%,-27%,-20%,-34%
16-Mar-20,"40,138",61,834,"9,442","16,799",832,881,"6,318","4,890",81,"33,438",46,660,"8,300","14,034",781,726,"4,951","3,843",97,-18%,-25%,-21%,-12%,-16%,-6%,-18%,-22%,-21%,20%
17-Mar-20,"42,101",68,837,"9,816","17,627",899,917,"6,690","5,148",99,"30,364",40,608,"7,535","12,864",748,611,"4,449","3,420",89,-29%,-41%,-27%,-23%,-27%,-17%,-33%,-33%,-34%,-10%
18-Mar-20,"46,530",87,890,"11,585","19,681",964,959,"6,993","5,259",112,"28,600",48,584,"7,004","12,170",634,579,"4,191","3,292",98,-38%,-45%,-34%,-40%,-38%,-34%,-40%,-40%,-37%,-13%
19-Mar-20,"43,654",75,818,"10,928","18,651",883,839,"6,534","4,833",93,"26,756",45,512,"6,504","11,532",643,543,"3,910","2,998",69,-38%,-40%,-37%,-40%,-38%,-27%,-35%,-40%,-38%,-26%
20-Mar-20,"42,554",82,778,"10,669","18,075",848,831,"6,337","4,836",98,"26,271",37,534,"6,261","11,281",662,508,"3,963","2,962",63,-37%,-55%,-31%,-41%,-38%,-22%,-39%,-37%,-39%,-36%
21-Mar-20,"42,430",79,755,"10,394","18,236",869,883,"6,371","4,746",97,"24,064",43,505,"5,795","10,122",632,550,"3,733","2,612",72,-43%,-46%,-33%,-44%,-44%,-27%,-38%,-41%,-45%,-26%
22-Mar-20,"42,384",84,755,"10,461","17,853",884,852,"6,525","4,872",98,"22,614",44,485,"5,476","9,417",608,499,"3,575","2,464",46,-46%,-48%,-36%,-48%,-47%,-31%,-41%,-45%,-49%,-53%
23-Mar-20,"39,441",78,746,"9,182","16,550",834,897,"6,313","4,754",87,"24,675",43,512,"6,270","10,472",663,457,"3,750","2,454",54,-39%,-45%,-31%,-32%,-37%,-21%,-49%,-41%,-48%,-38%
24-Mar-20,"41,260",67,822,"9,615","17,616",852,934,"6,304","4,961",89,"22,687",38,414,"5,589","9,676",599,507,"3,423","2,394",47,-46%,-43%,-50%,-42%,-45%,-30%,-46%,-46%,-52%,-47%
25-Mar-20,"45,324",77,851,"11,447","19,258",919,931,"6,684","5,032",125,"22,554",39,493,"5,327","9,727",579,451,"3,397","2,482",59,-49%,-49%,-42%,-53%,-49%,-37%,-52%,-49%,-51%,-53%
26-Mar-20,"42,217",65,751,"10,578","18,146",830,872,"6,194","4,671",110,"22,122",34,417,"5,300","9,514",657,459,"3,283","2,390",68,-47%,-48%,-44%,-50%,-48%,-21%,-47%,-47%,-49%,-38%
27-Mar-20,"41,700",61,753,"10,704","17,818",810,866,"6,020","4,568",100,"22,000",43,442,"5,455","9,230",578,456,"3,369","2,378",49,-47%,-30%,-41%,-49%,-48%,-29%,-47%,-44%,-48%,-51%
28-Mar-20,"41,582",75,770,"10,400","17,722",852,819,"6,180","4,644",120,"20,874",39,440,"5,047","8,643",559,482,"3,295","2,316",53,-49%,-48%,-43%,-51%,-51%,-34%,-41%,-47%,-50%,-56%
29-Mar-20,"42,019",71,833,"10,590","17,910",873,831,"6,157","4,658",96,"19,863",42,419,"4,731","8,156",500,449,"3,185","2,348",33,-52%,-41%,-50%,-55%,-54%,-43%,-46%,-48%,-50%,-66%
30-Mar-20,"39,396",65,721,"9,265","16,686",876,868,"6,179","4,623",113,"21,956",40,445,"5,473","9,090",578,495,"3,330","2,447",58,-45%,-38%,-38%,-41%,-46%,-34%,-43%,-46%,-47%,-49%
31-Mar-20,"40,796",68,795,"9,716","17,035",893,924,"6,418","4,858",89,"20,383",23,424,"5,182","8,361",537,459,"3,046","2,298",53,-51%,-66%,-47%,-47%,-51%,-40%,-50%,-53%,-53%,-40%
01-Apr-20,"45,481",81,861,"11,503","19,330",940,909,"6,768","4,983",106,"20,157",34,459,"5,066","8,382",519,434,"3,027","2,186",50,-56%,-58%,-47%,-56%,-57%,-45%,-52%,-55%,-56%,-53%
02-Apr-20,"43,010",61,758,"10,907","18,130",905,853,"6,535","4,754",107,"19,838",23,423,"4,977","8,217",435,452,"2,994","2,267",50,-54%,-62%,-44%,-54%,-55%,-52%,-47%,-54%,-52%,-53%
03-Apr-20,"42,011",61,748,"10,697","17,776",884,835,"6,441","4,462",107,"19,915",42,473,"5,147","8,039",412,450,"3,076","2,231",45,-53%,-31%,-37%,-52%,-55%,-53%,-46%,-52%,-50%,-58%
04-Apr-20,"41,146",58,779,"10,033","17,602",817,826,"6,330","4,592",109,"18,809",22,381,"4,734","7,532",398,423,"3,056","2,208",55,-55%,-62%,-51%,-53%,-57%,-51%,-49%,-52%,-52%,-50%
05-Apr-20,"41,863",62,770,"10,494","17,837",882,865,"6,270","4,592",91,"18,722",29,385,"4,628","7,544",433,487,"2,968","2,205",43,-55%,-53%,-50%,-56%,-58%,-51%,-44%,-53%,-52%,-53%
