"REF_DATE","GEO","DGUID","Age at time of death","Sex","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01-05","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-01-12","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-01-19","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","5","","","","0"
"2019-01-26","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-02-02","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","5","","","","0"
"2019-02-09","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-02-16","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-02-23","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-03-02","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-03-09","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-03-16","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","5","","","","0"
"2019-03-23","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-03-30","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-04-06","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-04-13","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-04-20","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","5","","","","0"
"2019-04-27","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-05-04","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","5","","","","0"
"2019-05-11","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
"2019-05-18","Newfoundland and Labrador","2016A000210","Age at time of death, 0 to 44 years","Females","Number of deaths","Number","223","units","0","v1161320341","2.2.3.1","0","","","","0"
