,Pre-pandemic Date,"B.C.

Number of ED visits, pre-pandemic",Post-pandemic Date,"B.C.

Number of ED visits, pandemic period",PRE_MIN_TEMPERATURE,PRE_MEAN_TEMPERATURE,PRE_MAX_TEMPERATURE,PRE_TOTAL_SNOW,PRE_TOTAL_RAIN,PRE_TOTAL_PRECIPITATION,PRE_HEATING_DEGREE_DAYS,PRE_COOLING_DEGREE_DAYS,POST_MIN_TEMPERATURE,POST_MEAN_TEMPERATURE,POST_MAX_TEMPERATURE,POST_TOTAL_SNOW,POST_TOTAL_RAIN,POST_TOTAL_PRECIPITATION,POST_HEATING_DEGREE_DAYS,POST_COOLING_DEGREE_DAYS
0,2019-03-01,"4,633",2020-03-01,"4,725",-7.16047619047619,-2.262135922330097,2.619806763285024,0.0773584905660377,0.0283018867924528,0.0767567567567567,20.262135922330096,0.0,-2.698611111111111,1.2546728971962615,5.208294930875576,0.6513274336283186,4.874561403508772,4.716666666666667,16.74532710280374,0.0
2,2019-03-02,"4,616",2020-03-02,"4,926",-9.664878048780489,-4.54264705882353,0.6407766990291263,0.0194174757281553,0.0,0.0333333333333333,22.54264705882353,0.0,0.6434977578475336,3.5702702702702704,6.527678571428572,0.4637931034482758,6.933898305084746,6.533505154639175,14.429729729729733,0.0
4,2019-03-03,"4,758",2020-03-03,"4,656",-11.698058252427185,-5.815196078431373,0.1594202898550724,0.022429906542056,0.0093457943925233,0.0370165745856353,23.815196078431374,0.0,1.1410714285714283,4.474324324324324,7.796396396396396,0.3777777777777778,3.842016806722689,3.988717948717949,13.525675675675677,0.0
6,2019-03-04,"5,036",2020-03-04,"4,589",-12.130188679245284,-5.346445497630332,1.5272300469483568,0.0178571428571428,0.0,0.0435483870967741,23.34644549763033,0.0,-0.5977477477477477,3.0817351598173515,6.7677272727272735,0.5543859649122808,3.414782608695652,3.084293193717277,14.918264840182648,0.0
8,2019-03-05,"4,785",2020-03-05,"4,526",-11.130232558139534,-4.262735849056604,2.623474178403756,0.0607142857142857,0.0,0.047089947089947,22.262735849056604,0.0,-0.7302752293577981,2.8023148148148147,6.331336405529954,1.0839285714285716,5.064601769911504,5.784408602150538,15.197685185185184,0.0
10,2019-03-06,"4,532",2020-03-06,"4,638",-7.298130841121495,-2.1533018867924527,3.044859813084112,2.036842105263158,0.184070796460177,1.655958549222798,20.15330188679245,0.0,-2.523474178403756,1.279326923076923,5.111483253588516,0.6761904761904762,2.1009523809523807,2.239884393063584,16.720673076923077,0.0
12,2019-03-07,"4,561",2020-03-07,"4,289",-4.866976744186047,-0.530373831775701,3.8314814814814815,1.1460869565217393,1.0704347826086955,1.7556701030927837,18.5303738317757,0.0,-3.755188679245283,0.1137440758293838,3.992890995260664,0.6560747663551402,1.3925233644859814,1.7469613259668508,17.886255924170616,0.0
14,2019-03-08,"4,542",2020-03-08,"4,254",-6.221596244131455,-0.8845410628019323,4.492307692307692,0.1830188679245283,0.030188679245283,0.3189189189189189,18.884541062801933,0.0,-4.960563380281689,-0.0679245283018868,4.865581395348837,0.5137614678899083,0.1532110091743119,0.5867403314917127,18.067924528301887,0.0
16,2019-03-09,"4,641",2020-03-09,"4,659",-6.672815533980582,-0.7951219512195122,5.111538461538462,0.1346153846153846,0.0038461538461538,0.0929347826086956,18.795121951219517,0.0,-5.604784688995216,0.0593301435406698,5.71866028708134,0.42,4.850450450450451,3.8685714285714288,17.94066985645933,0.0
18,2019-03-10,"4,926",2020-03-10,"4,430",-7.021800947867298,-0.7628571428571429,5.564651162790698,0.4607142857142857,3.6089285714285713,2.7359375000000004,18.762857142857143,0.0,-1.2790697674418603,1.9877934272300468,5.270422535211267,1.8436363636363635,7.233333333333333,7.794054054054055,16.01220657276995,0.0
