,Date,Number_Visits,Province,MIN_TEMPERATURE,MEAN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_SNOW,TOTAL_RAIN,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS,is_holiday,holiday_name,British Columbia Day,Canada Day,Christmas Day,Family Day,Good Friday,Labour Day,New Year's Day,Remembrance Day,Thanksgiving Day,Victoria Day,normal day,is_weekend,Quarter,Population at end of quarter,"Age at time of death_Age at time of death, 0 to 44 years_x","Age at time of death_Age at time of death, 45 to 64 years_x","Age at time of death_Age at time of death, 65 to 84 years_x","Age at time of death_Age at time of death, 85 years and over_x","Age at time of death_Age at time of death, 0 to 44 years male","Age at time of death_Age at time of death, 45 to 64 years male","Age at time of death_Age at time of death, 65 to 84 years male","Age at time of death_Age at time of death, 85 years and over male","Age at time of death_Age at time of death, 0 to 44 years_y","Age at time of death_Age at time of death, 45 to 64 years_y","Age at time of death_Age at time of death, 65 to 84 years_y","Age at time of death_Age at time of death, 85 years and over_y","Age at time of death_Age at time of death, 0 to 44 years female","Age at time of death_Age at time of death, 45 to 64 years female","Age at time of death_Age at time of death, 65 to 84 years female","Age at time of death_Age at time of death, 85 years and over female"
0,2019-01-01,"5,038",BC,-2.4004807692307693,0.2689320388349514,2.9392344497607654,0.4263636363636363,3.916216216216216,3.610824742268041,17.73106796116505,0.0,1,New Year's Day,0,0,0,0,0,0,1,0,0,0,0,0,1,5061132,1,1,1,1,30.0,80.0,175.0,110.0,1,1,1,1,20.0,45.0,155.0,165.0
1,2019-01-02,"5,078",BC,-0.6953488372093023,1.77803738317757,4.254377880184332,2.447863247863248,25.56470588235294,19.691542288557216,16.22196261682243,0.0,0,normal day,0,0,0,0,0,0,0,0,0,0,1,0,1,5061132,1,1,1,1,30.0,80.0,175.0,110.0,1,1,1,1,20.0,45.0,155.0,165.0
2,2019-01-03,"4,794",BC,0.1327102803738317,2.677358490566038,5.23943661971831,1.843859649122807,21.59568965517241,24.276119402985078,15.322641509433964,0.0,0,normal day,0,0,0,0,0,0,0,0,0,0,1,0,1,5061132,1,1,1,1,30.0,80.0,175.0,110.0,1,1,1,1,20.0,45.0,155.0,165.0
3,2019-01-04,"4,833",BC,1.142512077294686,3.3773399014778325,5.616666666666666,0.5557692307692308,4.419047619047619,5.486387434554974,14.622660098522168,0.0,0,normal day,0,0,0,0,0,0,0,0,0,0,1,0,1,5061132,1,1,1,1,30.0,80.0,175.0,110.0,1,1,1,1,20.0,45.0,155.0,165.0
4,2019-01-05,"4,898",BC,0.0461538461538461,2.104878048780488,4.189855072463768,1.0261682242990653,6.614953271028037,4.9703125,15.895121951219512,0.0,0,normal day,0,0,0,0,0,0,0,0,0,0,1,1,1,5061132,1,1,1,1,30.0,80.0,175.0,110.0,1,1,1,1,20.0,45.0,155.0,165.0
5,2019-01-06,"4,896",BC,-1.3703883495145632,1.3230392156862745,4.123333333333333,1.082882882882883,2.3125,4.131979695431472,16.676960784313724,0.0,0,normal day,0,0,0,0,0,0,0,0,0,0,1,1,1,5061132,1,1,1,1,30.0,80.0,175.0,110.0,1,1,1,1,20.0,45.0,155.0,165.0
6,2019-01-07,"4,985",BC,-5.822897196261682,-2.2028169014084504,1.4453703703703704,0.6827586206896552,0.4573913043478261,0.9881443298969071,20.20281690140845,0.0,0,normal day,0,0,0,0,0,0,0,0,0,0,1,0,1,5061132,1,1,1,1,30.0,75.0,190.0,125.0,1,1,1,1,20.0,50.0,175.0,195.0
7,2019-01-08,"4,532",BC,-7.763255813953488,-4.1985981308411215,-0.5506976744186046,3.5084745762711864,6.525833333333334,7.239698492462312,22.19859813084112,0.0,0,normal day,0,0,0,0,0,0,0,0,0,0,1,0,1,5061132,1,1,1,1,30.0,75.0,190.0,125.0,1,1,1,1,20.0,50.0,175.0,195.0
8,2019-01-09,"4,460",BC,-3.290243902439024,-0.2458128078817734,2.8387254901960786,2.721238938053097,8.858620689655172,10.9171875,18.245812807881773,0.0,0,normal day,0,0,0,0,0,0,0,0,0,0,1,0,1,5061132,1,1,1,1,30.0,75.0,190.0,125.0,1,1,1,1,20.0,50.0,175.0,195.0
9,2019-01-10,"4,571",BC,0.1990654205607476,2.787264150943396,5.395774647887324,0.2407079646017699,6.727826086956521,6.699999999999999,15.212735849056603,0.0,0,normal day,0,0,0,0,0,0,0,0,0,0,1,0,1,5061132,1,1,1,1,30.0,75.0,190.0,125.0,1,1,1,1,20.0,50.0,175.0,195.0
10,2019-01-11,"4,607",BC,0.972596153846154,3.5082926829268293,6.109708737864077,0.0715596330275229,3.79,3.869430051813471,14.491707317073171,0.0,0,normal day,0,0,0,0,0,0,0,0,0,0,1,0,1,5061132,1,1,1,1,30.0,75.0,190.0,125.0,1,1,1,1,20.0,50.0,175.0,195.0
