Year,Quarter,In,Out,Net,Immigrants,Emigrants,Net NPR,Temporary abroad,Returning emigrants,Net,Total net migration,Births,Deaths,Natural increase,Total increase,Population at end of quarter,Annual growth rate (%)
2019,1,"12,865","9,340","3,525","8,848","2,216","8,080","1,306",  795,"14,201","17,726","10,409","10,159",    250,"17,976","5,066,120", 1.7
2019,2,"21,246","15,113","6,133","13,688","1,899","8,736","1,255","1,625","20,895","27,028","11,075","9,427","1,648","28,676","5,094,796", 1.7
2019,3,"15,674","13,359","2,315","15,900","2,495","16,602","1,791","2,916","31,132","33,447","11,569","9,032","2,537","35,984","5,130,780", 1.8
2019,4,"10,553","8,263","2,290","11,801","1,881","− 4,477","1,350","1,046","5,139","7,429","10,439","9,938",    501,"7,930","5,138,710", 1.8

2020,1,"15,838","11,963","3,875","11,038","1,969","− 1,189","1,417","1,179","7,642","11,517","10,394","10,422",−    28,"11,489","5,150,199", 1.7
2020,2,"22,643","14,124","8,519","6,066",   573,"− 9,914",  372,  637,"− 4,156","4,363","10,702","9,769",    933,"5,296","5,155,495", 1.2
2020,3,"11,259","8,002","3,257","4,901","1,550","− 12,691",  719,"2,076","− 7,983","− 4,726","11,089","9,938","1,151","- 3,575","5,151,920", 0.4
2020,4,"9,231","5,578","3,653","6,487","1,581","− 2,083",  835,  858,"2,846","6,499","10,069","11,195","− 1,126","5,373","5,157,293", 0.4

2021,1,"16,206","9,213","6,993","10,278","2,170","4,568","1,063",  816,"12,429","19,422","10,428","10,783",−   355,"19,067","5,176,360", 0.5
2021,2,"26,854","15,381","11,473","12,722","1,888","2,659","1,082","1,668","14,079","25,552","11,258","10,792",    466,"26,018","5,202,378", 0.9
2021,3,"19,223","13,660","5,563","23,137","2,838","8,584","1,563","2,785","30,105","35,668","11,489","10,822",    667,"36,335","5,238,713", 1.7
2021,4,"12,183","8,987","3,196","23,337","2,923","− 8,567","1,871",  972,"10,948","14,144","10,719","11,998","− 1,279","12,865","5,251,578", 1.8

2022,1,"15,970","13,154","2,816","20,736","2,286","3,344","1,348",  820,"21,266","24,082","10,023","11,874","− 1,851","22,231","5,273,809", 1.9
2022,2,"29,347","25,053","4,294","15,990","1,959","26,942","1,294","1,676","41,355","45,649","10,552","10,686",−   134,"45,515","5,319,324", 2.2
2022,3,"14,306","19,105","− 4,799","16,106","3,106","39,429","1,661","2,835","53,603","48,804","10,869","10,731",    138,"48,942","5,368,266", 2.5
2022,4,"10,165","11,995","− 1,830","8,381","2,500","29,048","1,359",  989,"34,559","32,729","10,139","12,016","− 1,877","30,852","5,399,118", 2.8
